0.10633	0.21009	0.17917	0.17396	0.23997	0.03947	0.66133	0.04475	0.20111	0.12547	0.55047	0.15649
0.85622	0.07048	0.14891	0.13867	0.10301	0.17172	0.11505	0.32608	0.11934	0.07479	0.10796	0.17137
0.13972	0.13900	0.27455	0.16737	0.13647	0.19076	0.55112	0.62408	0.22676	0.18713	0.10770	0.10728
0.33292	0.37048	0.27849	0.43238	0.18705	0.15823	0.30169	0.20417	0.44913	0.18356	0.16674	0.17738
0.32738	0.28058	0.33533	0.16170	0.26594	0.15998	0.36160	0.35538	0.30818	0.26875	0.21111	0.33221
0.26823	0.40010	0.35554	0.25859	0.24402	0.26022	0.24198	0.35145	0.20782	0.26094	0.21693	0.32716
0.20791	0.18577	0.28252	0.25817	0.37873	0.42019	0.27734	0.32148	0.25068	0.30721	0.19980	0.28000
0.24535	0.35692	0.31715	0.21870	0.22684	0.40151	0.30993	0.28751	0.25410	0.27766	0.29290	0.21250
0.29598	0.26994	0.34892	0.23472	0.30831	0.25975	0.25006	0.29248	0.31943	0.36282	0.23939	0.24718
0.23726	0.30566	0.27336	0.22064	0.35475	0.22777	0.28260	0.33208	0.23842	0.41765	0.22885	0.27451
0.23946	0.23778	0.38542	0.20270	0.24301	0.20889	0.28000	0.24122	0.51742	0.21560	0.30406	0.22484
0.28876	0.22567	0.17927	0.18561	0.60431	0.09382	0.10180	0.10877	0.27325	0.30052	0.36722	0.32107
