0.18231	0.24750	0.70043	0.29003	0.19202	0.54214
0.38329	0.25754	0.29344	0.27641	0.44560	0.65245
0.33424	0.36127	0.50169	0.53243	0.30777	0.35759
0.43552	0.38621	0.45984	0.28844	0.43485	0.42121
0.40952	0.40148	0.41213	0.33956	0.40213	0.47356
0.49885	0.34838	0.41573	0.44428	0.35074	0.36952
0.36161	0.35020	0.48799	0.38296	0.46031	0.38720
0.41847	0.36983	0.40848	0.36265	0.50831	0.36244
0.33773	0.37743	0.40715	0.41210	0.52201	0.36797
0.36294	0.30509	0.55308	0.42384	0.42007	0.33644
0.34931	0.60585	0.26035	0.28327	0.31772	0.51182
0.22166	0.13127	0.15896	0.37551	0.73163	0.48175
